Board,Title
pc_shopping,[情報] 5090奇遇記
pc_shopping,[情報] 3dmark steel nomad開始支援8k解析度測試
pc_shopping,[菜單] 25k遊戲程式機 不含顯卡
pc_shopping,[心得] 抱著可能會被噓爆的狀態發這篇
pc_shopping,[請益] 半月內5090沒有燒毀案例了？
pc_shopping,[菜單] 70k 3a遊戲機
pc_shopping,[閒聊] amd下代核心數量也加倍32核zen6c
pc_shopping,[請益] 電供給16pin要怎麼裝在9070xt上的3x8pin
pc_shopping,[閒聊] am4 cpu 5600x和5700x 原價屋又上架了
pc_shopping,[菜單] 28k升級 綜合遊戲機
pc_shopping,[閒聊] 3/12台北原價屋排隊回報
pc_shopping,[菜單] 40k上下 matx主機
pc_shopping,[開箱] 藍寶 pulse radeon rx9070 雙風扇+雙hdmi
hatepolitics,[討論] 民眾黨新任臺中主委：2年條款一定落實
hatepolitics,[討論] 問倒閣的是國民黨，國蔥提賴幹嘛
hatepolitics,[舊聞] 微甜馬鈴薯 fb 總預算說明圖解
hatepolitics,[討論] 我是台灣人，我反綠
hatepolitics,[黑特] 小草到底在氣什麼？？
hatepolitics,[新聞] 小四女童逛百貨當眾押回派出所「嚇到崩
hatepolitics,[討論] 不必氣，努力大罷免就對了
hatepolitics,"[討論] 現況來說,純中間選民反而是稀有族群惹吧?"
hatepolitics,[新聞] 高雄宣講！邱議瑩、許智傑、李柏毅、李꤯
hatepolitics,[討論] 我沒興趣跟民進黨一起死！
hatepolitics,[新聞] 獨／被酸「不肖子孫」！胡璉孫女：誰都
hatepolitics,[討論] 小草台灣人
hatepolitics,[討論] 誠品可以關一關了吧
hatepolitics,[討論] 你願意為台灣而死嗎？
hatepolitics,[黑特] 大罷免與文化大革命的差異？
hatepolitics,[討論] 美國如何讓台灣高科技赴美
hatepolitics,[討論] 現在還是很難相信藍白刪預算刪到負
hatepolitics,[黑特] 核電擋人財路
hatepolitics,[黑特] 吃血饅頭最厲害的還是民進黨
hatepolitics,[討論] 小草是不是都覺得自己最大
hatepolitics,[新聞] 高雄箱型車突衝上人行道 來台觀光日籍婦
hatepolitics,[討論] 川普砍美國之音；賴清德不敢
hatepolitics,[新聞] 吳子嘉酸魏哲家醜胖子！徐巧芯台下大笑挨
hatepolitics,[黑特] 主計長都公開承認比去年預算多1368億
hatepolitics,[黑特] 國民黨在氣傅崑其？國民黨手榴彈連環爆，
hatepolitics,"[討論] 民進黨慘了,藍營新聞粉專對陸配現實風向"
hatepolitics,[討論] 許智傑送共軍武器造型獎勵，不罵爆？
hatepolitics,[討論] 賴皮自己請辭 給蕭當總統比較實在吧
hatepolitics,[討論] 反共是在野黨最好的主張!?
